DRUGBANK_ID,DB00014,DB00035,DB00091,DB00093,DB00104,DB00116
DB00014,1,0.277182,0.0949367,0.233927,0.344684,0.0477941
DB00035,0.277182,1,0.119323,0.705805,0.191509,0.0623229
DB00091,0.0949367,0.119323,1,0.126787,0.0776093,0.0294416
DB00093,0.233927,0.705805,0.126787,1,0.273286,0.0595358
DB00104,0.344684,0.191509,0.0776093,0.273286,1,0.0446602
DB00116,0.0477941,0.0623229,0.0294416,0.0595358,0.0446602,1
