DRUGBANK_ID,DB09555,DB09561,DB09563,DB09570,DB09571,DB11093,DB11104,DB11126,DB11228,DB11256,DB11359,DB11362,DB11363,DB11364,DB11367,DB11560,DB11574,DB11575,DB11581,DB11582,DB11591,DB11596,DB11602,DB11609,DB11610,DB11611,DB11613,DB11614,DB11619,DB11699,DB11730,DB11737,DB11793,DB11915,DB11921,DB11943,DB11994,DB12095,DB12161,DB12243,DB12332,DB12598,DB13025,DB13092,DB13139,DB13146,DB13154,DB13155,DB13156,DB13158,DB13164,DB13165,DB13167,DB13179,DB13180
DB00121,0.0141509,0.0175439,0.0112782,0.0173913,0.0264026,0.0241379,0,0.0363036,0.0139442,0.0368794,0.00974026,0.0207006,0.00629811,0.0572034,0.0389447,0.0210526,0.0102669,0.0152621,0.0100154,0.0209556,0.0175913,0.0354707,0.012987,0.0193906,0.0248447,0.0191431,0.00533096,0.00572082,0.0133222,0.0122699,0.0151515,0.00681199,0.0167428,0.0117773,0.010644,0.00819672,0.00765306,0.0112108,0.0123762,0.015873,0.0117647,0.00909091,0.012605,0.0055788,0.0197531,0.0307167,0.0109091,0.0151307,0.0135501,0.0102529,0.00979192,0.0131579,0.0248756,0.00993049,0.0433333
DB00122,0.0154639,0.0555556,0.714286,0.012931,0.0263158,0.0322581,0,0.0384615,0.00729927,0.00809717,0.0263158,0.00740741,0.00249584,0.0114068,0.00507614,0.00555556,0.0017321,0.00309358,0.0027907,0.00510204,0.00776699,0.00573614,0.00773196,0.0227273,0.0210526,0.0045403,0.00197433,0.00466563,0.00408163,0.00707547,0.0042735,0.00396825,0.00461894,0.00423131,0.00240674,0.00229358,0.0036036,0.0045045,0.00515464,0.0134228,0.00480769,0,0.0163265,0.001657,0.0227273,0.0298507,0.0227273,0.0059761,0.00585938,0.00322321,0.00509338,0.00789474,0.0112994,0.00255754,0.038961
DB00123,0.040724,0.0588235,0.0454545,0.0229008,0.0373832,0.0543478,0,0.0857143,0.00980392,0.0411765,0.0277778,0.0184758,0.00650406,0.0678571,0.0228385,0.024911,0.00855676,0.0144928,0.00725295,0.0119284,0.0260223,0.0390335,0.00952381,0.0306748,0.04,0.0177384,0.0068326,0.00443787,0.0119403,0.0176991,0.0165289,0.00559701,0.0331126,0.0191518,0.00532544,0.0111483,0.010274,0.030837,0.0181219,0.0222222,0.00763359,0.011396,0.0217391,0.00729927,0.0390244,0.108696,0.04,0.0131827,0.0110701,0.0070922,0.00806452,0.0171149,0.0341463,0.00988875,0.118812
DB00125,0.0371901,0.0471698,0.0344828,0.0212014,0.0393701,0.0442478,0,0.0714286,0.00917431,0.0494297,0.0232558,0.0198676,0.00639488,0.0702341,0.0253165,0.0240137,0.00959368,0.0127436,0.0107143,0.0136585,0.0250447,0.0469314,0.00907029,0.0271739,0.0413793,0.019544,0.00676329,0.00430416,0.0116959,0.0169133,0.0187919,0.00900901,0.0471092,0.018617,0.00526008,0.0119956,0.00991736,0.0313837,0.0175159,0.0199005,0.0164179,0.032967,0.020202,0.00798085,0.0446429,0.0884956,0.03125,0.0126812,0.0106572,0.00697674,0.0109546,0.0258216,0.0309735,0.00963855,0.0983607
DB00126,0.0162866,0.068323,0.0202703,0.0233918,0.021164,0.0287356,0,0.107345,0.0235602,0.0199667,0.0265957,0.0135659,0.00686499,0.0269542,0.0260492,0.0138675,0.00927441,0.0143678,0.0101609,0.0213556,0.0160256,0.0190779,0.0242915,0.0162602,0.044335,0.0121457,0.00656969,0.00661376,0.0194805,0.0304183,0.00985222,0.00648298,0.0166359,0.0273292,0.00963719,0.0133197,0.0166415,0.0221643,0.0130246,0.0152672,0.00815217,0.021028,0.0253521,0.0247678,0.0350877,0.0454545,0.0191083,0.0367893,0.0277325,0.00666173,0.0085592,0.010142,0.027972,0.0250855,0.133721
DB00127,0.00952381,0.0140845,0.0408163,0.00401606,0.021978,0.0128205,0,0.0105263,0.00344828,0.00984252,0,0.0119617,0.00164204,0.0107914,0.00495049,0.00359712,0.00229095,0.0030581,0.00367309,0.00300903,0.0037594,0.00932836,0.00246914,0.0135135,0.00900901,0.00334448,0.000978953,0.0030349,0.00200602,0.00454545,0.0140845,0.00579151,0.0250569,0.00414365,0.00119119,0.00225479,0,0.00293255,0.00334448,0.00606061,0.00784929,0.00597015,0.00763359,0.000817661,0.015625,0.0243902,0,0.00192678,0.00189036,0.00158983,0.00496689,0.0257732,0.00518135,0.00125313,0.0106383
DB00128,0.027907,0.0657895,0.0344828,0.0318725,0.0625,0.0864198,0,0.09375,0.010101,0.0377734,0.030303,0.0164706,0.00572831,0.0622711,0.0248756,0.0253165,0.00514286,0.0107116,0.00639269,0.01001,0.0225989,0.0357815,0.00973236,0.0392157,0.0431034,0.0224972,0.00587659,0.00449775,0.0110331,0.0134831,0.00829876,0.00378788,0.02,0.0193906,0.00535396,0.0112613,0.0104348,0.0405405,0.0269815,0.035503,0.00773994,0.0116959,0.0186567,0.00735294,0.0461538,0.120482,0.0454545,0.01341,0.011257,0.00714286,0.00653595,0.0124378,0.0518135,0.01,0.130435
DB00129,0.0420561,0.0641026,0.0508475,0.0235294,0.04,0.0588235,0,0.0918367,0.0100334,0.0417495,0.029703,0.0163934,0.00654129,0.0695971,0.0231023,0.0252252,0.00859107,0.0130168,0.00729927,0.012012,0.0263653,0.039548,0.00968523,0.0320513,0.0423729,0.0178771,0.00685602,0.00448431,0.012024,0.0179775,0.0138696,0.00567108,0.0336323,0.019337,0.00534759,0.011236,0.0103986,0.0311573,0.0183333,0.0231214,0.00771605,0.0116279,0.0223048,0.00734095,0.040404,0.117647,0.0441176,0.0133588,0.011215,0.00713154,0.00815661,0.0174129,0.0353535,0.00997506,0.12766
DB00130,0.0403587,0.0574713,0.0441176,0.026616,0.0462963,0.076087,0,0.0841122,0.00974026,0.0681363,0.0272727,0.0183908,0.00731113,0.106618,0.02443,0.0284698,0.00682594,0.0129278,0.00906618,0.0159363,0.0297398,0.0645161,0.00947867,0.0429448,0.0393701,0.0199557,0.00731707,0.00739645,0.017982,0.0176211,0.010929,0.00557621,0.0307018,0.0218878,0.00770142,0.0122494,0.0102389,0.0337739,0.0231023,0.0333333,0.010687,0.0142045,0.0215827,0.00892133,0.0436893,0.106383,0.038961,0.0131332,0.0110294,0.0102605,0.00803859,0.0145631,0.0439024,0.00986436,0.116505
DB00131,0.0130435,0.0313653,0.00373134,0.0109739,0.00869565,0.00711744,0,0.0318584,0.0442953,0.0131712,0.00869565,0.0178971,0.00589275,0.00787402,0.00827967,0.013579,0.011302,0.0101067,0.00958466,0.0290657,0.0179462,0.0128079,0.0407925,0.00631912,0.0118243,0.0065312,0.00756068,0.00878735,0.00609343,0.0119826,0.0168492,0.0243902,0.016269,0.0116667,0.0102516,0.0185048,0.00665399,0.0147314,0.00741427,0.00771605,0.00534283,0.00856793,0.0107672,0.00884434,0.0118694,0.0124113,0.00551471,0.0424431,0.315653,0.00517837,0.0110906,0.0114286,0.0118871,0.0206349,0.0319149
